id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
13724249,Footsteps to the Acropolis,ΝΕΟΣ ΚΟΣΜΟΣ,37.96292,23.72958,Entire rental unit,Entire home/apt,4,2.0,2.0,60.0,6,1125,,,,,,,,True,80237575
13728371,A flat in an Athenian family building!,ΠΑΓΚΡΑΤΙ,37.97048,23.74608,Entire rental unit,Entire home/apt,5,1.0,1.0,45.0,1,90,4.97,4.93,4.87,4.97,4.99,4.86,4.89,False,80287160
13735497,Τετράκλινο Διαμέρισμα Στο Κέντρο της Πόλης,ΙΛΙΣΙΑ,37.97452,23.75083,Entire rental unit,Entire home/apt,4,1.0,4.0,95.0,1,1125,,,,,,,,False,17662157
13738121,Olive room: Private room 10min walk to Acropolis,ΝΕΟΣ ΚΟΣΜΟΣ,37.96219,23.72671,Private room in rental unit,Private room,2,1.0,1.0,16.0,2,1125,4.69,4.81,4.38,4.88,4.89,4.82,4.77,True,22042619
13739424,Cozy Athens Apartment / 2' from Metro Station,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99404,23.72278,Entire rental unit,Entire home/apt,4,1.0,2.0,39.0,1,1125,4.85,4.88,4.93,4.96,4.95,4.43,4.81,False,80426191
13744447,ACROPOLIS VIEW for Groups-100% Athens experience❤️,ΚΕΡΑΜΕΙΚΟΣ,37.9794,23.71669,Entire rental unit,Entire home/apt,12,3.0,3.0,170.0,2,1125,4.25,4.38,4.13,4.75,5.0,4.75,4.75,False,8171630
13748657,Minimal Entire Apartment,ΝΕΑ ΚΥΨΕΛΗ,38.00049,23.74778,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,2,1125,4.91,4.91,5.0,4.93,4.93,4.36,4.86,False,73904925
13749616,Panoramic 360 view Acropolis-Lycabettus-Filopappou,ΝΕΟΣ ΚΟΣΜΟΣ,37.95881,23.72775,Entire rental unit,Entire home/apt,6,3.0,4.0,120.0,3,21,5.0,4.99,4.93,5.0,5.0,4.96,4.93,True,80544988
13756367,Lovely two bedroom apartment with roof garden!,ΚΕΡΑΜΕΙΚΟΣ,37.97999,23.7236,Entire rental unit,Entire home/apt,5,2.0,2.0,91.0,2,1125,4.85,4.89,5.0,4.93,4.97,4.79,4.75,True,1418201
13762089,Quiet apartment in the historic center of Athens.,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97345,23.7333,Entire rental unit,Entire home/apt,4,2.0,3.0,105.0,1,31,4.94,4.96,4.94,5.0,4.99,4.97,4.89,False,80697320
13766522,Greek island  handmade flat,ΚΕΡΑΜΕΙΚΟΣ,37.9806,23.71425,Entire rental unit,Entire home/apt,2,1.0,1.0,55.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,39058793
13767275,Kolonou Apartment,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9845,23.71985,Entire rental unit,Entire home/apt,5,2.0,3.0,65.0,3,1125,5.0,4.5,4.5,5.0,5.0,4.0,5.0,False,70742986
13767335,Minimize,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98773,23.74387,Entire rental unit,Entire home/apt,4,1.0,2.0,65.0,2,7,,,,,,,,True,80753088
