id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
52507952,🪴The Britt | Cozy Cottage with Lovely Comforts,78751,30.30144,-97.71663,Tiny house,Entire home/apt,2,,1.0,181.0,1,365,5.0,5.0,4.92,5.0,5.0,4.92,4.92,True,343836805
52508660,New Modern 3 Bedroom House in Hip Montopolis,78741,30.23202,-97.69413,Entire residential home,Entire home/apt,6,3.0,3.0,310.0,2,365,5.0,5.0,5.0,5.0,5.0,4.29,4.95,True,114422088
52509888,Homey home | 2BR in Austin,78751,30.31467,-97.73335,Entire serviced apartment,Entire home/apt,5,2.0,2.0,213.0,30,365,,,,,,,,True,359036978
52510855,Gay Friendly Modern Guest House - Great Location,78703,30.28098,-97.76189,Entire residential home,Entire home/apt,4,,2.0,318.0,30,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,425019452
52510926,Southshore Apartment with incredible views,78741,30.24114,-97.72308,Entire rental unit,Entire home/apt,2,1.0,1.0,213.0,2,10,5.0,5.0,5.0,5.0,4.86,5.0,4.86,False,1649731
52513360,Bamboo Oasis - Great for Groups,78704,30.23214,-97.77768,Entire residential home,Entire home/apt,12,5.0,8.0,344.0,1,365,4.33,4.33,4.0,4.33,3.67,4.0,4.33,True,396784850
52513366,Bamboo Oasis Unit A,78704,30.2334,-97.77978,Entire residential home,Entire home/apt,5,2.0,3.0,129.0,1,365,2.0,4.0,4.0,3.0,1.0,2.0,1.0,True,396784850
52513385,Bamboo Oasis Unit B,78704,30.23354,-97.77948,Entire residential home,Entire home/apt,8,3.0,5.0,189.0,1,365,4.0,4.0,4.0,4.0,4.0,4.0,3.0,True,396784850
52513477,Eclectic Condo in the Heart of East Austin -- SXSW,78702,30.25933980775841,-97.72250243893988,Entire condominium (condo),Entire home/apt,4,1.0,1.0,122.0,3,30,,,,,,,,False,269788958
52513522,"Central ATX Home - Bike, Hike, Eat - 3bd/2ba - NEW",78757,30.35224,-97.74442,Entire residential home,Entire home/apt,6,3.0,4.0,346.0,3,1125,5.0,5.0,5.0,5.0,5.0,5.0,4.89,False,94705836
